account_name,detection_source,website_url,website_confidence,skip,notes
Myer,"customer story: myer, subpage: akeneo solutions, subpage: customer story, subpage: omnichannel activation, subpage: sell on retailers marketplaces",https://www.myer.com.au,HIGH,FALSE,Major Australian department store chain; domain contains company name
N Brown,customer story: n brown,https://www.nbrown.co.uk,HIGH,FALSE,"UK online fashion and homeware retailer (JD Williams, Simply Be, Jacamo)"
Nature Decouvertes,customer story: nature decouvertes,https://www.natureetdecouvertes.com,HIGH,FALSE,French nature-themed retail chain; domain matches company name
Nei,customer story: nei,null,LOW,TRUE,Ambiguous company name; multiple companies named NEI exist; unable to verify which one is the Akeneo customer
Nelson Jameson,subpage: distributor retailer,https://www.nelsonjameson.com,HIGH,FALSE,US-based food and dairy processing industry distributor; domain matches
Novia,customer story: novia,https://www.novia.fr,MEDIUM,FALSE,Novia is a French building/insulation products company; could also be other entities
Nuna,subpage: brand manufacturer,https://www.nunababy.com,HIGH,FALSE,Nuna - premium baby gear/stroller manufacturer; nunababy.com is primary domain
Nuxe,"subpage: akeneo solutions, subpage: omnichannel activation, subpage: sell on retailers marketplaces",https://www.nuxe.com,HIGH,FALSE,French cosmetics/skincare brand; domain matches company name
Obelink,"customer story: obelink, subpage: pim for cpg",https://www.obelink.nl,HIGH,FALSE,Dutch outdoor/camping retailer; domain matches company name
Petra,"customer story: petra, subpage: customer story, subpage: pim for food and beverage",null,LOW,TRUE,Ambiguous name; could be Petra Industries or others; food/beverage context unclear
Pierce,"customer story: pierce, subpage: brand manufacturer",https://www.piercegroup.com,MEDIUM,FALSE,"Scandinavian online retailer for motorcycle/powersports/outdoor gear (XLmoto, 24MX brands)"
Ploonk,customer story: ploonk,https://www.ploonk.com,MEDIUM,FALSE,Small wine brand (canned/boxed wine from South Africa); niche brand
Poclain,customer story: poclain,https://www.poclain.com,HIGH,FALSE,French manufacturer of hydraulic motors for mobile machinery; domain matches
Rdo Equip,"customer story: rdo equipment, homepage, subpage: retailers & distributors",https://www.rdoequipment.com,HIGH,FALSE,RDO Equipment Co. - major John Deere dealer/heavy equipment distributor in US
Remmers Gruppe,customer story: remmers gruppe,https://www.remmers.com,HIGH,FALSE,German building products/coatings manufacturer (Remmers Gruppe AG)
Remy Cointreau,"customer story: remy cointreau, subpage: activation",https://www.remy-cointreau.com,HIGH,FALSE,"French spirits group (Remy Martin, Cointreau, etc.)"
Rexel,"customer story: rexel, homepage, subpage: retailers & distributors",https://www.rexel.com,HIGH,FALSE,Global distributor of electrical supplies; French-headquartered
Rob The Gourmets Market,customer story: rob the gourmets market,https://www.rob-brussels.be,MEDIUM,FALSE,"Premium food market/grocery in Brussels, Belgium"
Rural King,"subpage: akeneo solutions, subpage: customer story, subpage: omnichannel activation, subpage: sell on retailers marketplaces",https://www.ruralking.com,HIGH,FALSE,US farm/home supply retailer; domain contains name
Sanicare,customer story: sanicare,https://www.sanicare.de,MEDIUM,FALSE,German online pharmacy; domain contains name but niche
Sbs,"customer story: sbs mobile, subpage: brand manufacturer",https://www.sbsmobile.com,HIGH,FALSE,Italian mobile accessories brand; matches detection source context
Schmidt Groupe,customer story: schmidt groupe,https://www.schmidt-groupe.com,HIGH,FALSE,French kitchen/furniture manufacturer; domain contains full name
Sealedair,"customer story: sealed air, subpage: b2b manufacturing",https://www.sealedair.com,HIGH,FALSE,Sealed Air Corporation - packaging solutions; domain contains name
Sellerx,customer story: sellerx,https://www.sellerx.com,HIGH,FALSE,Amazon aggregator/ecommerce brand acquirer; domain contains name
Sephora,subpage: expand to new segments,https://www.sephora.com,HIGH,FALSE,Global beauty retailer (LVMH); domain contains name
Shop Apotheke Europe,customer story: shop apotheke europe,https://www.shop-apotheke.com,HIGH,FALSE,European online pharmacy; domain contains name
Shop Com Market America,customer story: shop com market america,https://www.shop.com,HIGH,FALSE,SHOP.COM by Market America; domain matches brand
Slv,"customer story: slv erlebe licht, subpage: expand to new segments",https://www.slv.de,MEDIUM,FALSE,German lighting company (SLV GmbH); may have moved to slv-lighting.com
Smallable,customer story: smallable,https://www.smallable.com,HIGH,FALSE,French family concept store / children's fashion ecommerce
Smcp,customer story: smcp,https://www.smcp.com,HIGH,FALSE,"SMCP group (Sandro, Maje, Claudie Pierlot, Fursac)"
Snipes,"homepage, subpage: retailers & distributors",https://www.snipes.com,HIGH,FALSE,Streetwear/sneaker retailer; domain contains name
Spaenaur,customer story: spaenaur,https://www.spaenaur.com,HIGH,FALSE,Canadian industrial fasteners/parts distributor; domain contains name
Staples,"customer story: staples, homepage, subpage: akeneo solutions, subpage: customer story, subpage: omnichannel activation, subpage: retailers & distributors, subpage: sell on retailers marketplaces",https://www.staples.com,HIGH,FALSE,Office supplies retailer; domain contains name
Starkey,customer story: starkey,https://www.starkey.com,HIGH,FALSE,Hearing aid manufacturer (Starkey Hearing Technologies)
Steelcase,"customer story: steelcase, homepage, subpage: retailers & distributors",https://www.steelcase.com,HIGH,FALSE,Office furniture manufacturer; domain contains name
Sunbelt Rentals,subpage: distributor retailer,https://www.sunbeltrentals.com,HIGH,FALSE,Equipment rental company; domain contains name
Synchro Diffusion,customer story: synchro diffusion,null,LOW,TRUE,French distribution company; unable to verify - domain uncertain
Tarkett,"customer story: tarkett, subpage: brand manufacturer",https://www.tarkett.com,HIGH,FALSE,Flooring and sports surfaces manufacturer; domain matches
Taylormade,subpage: activation,https://www.taylormadegolf.com,HIGH,FALSE,TaylorMade Golf - major golf equipment brand
Tectake,"customer story: tectake, subpage: activation, subpage: sell on retailers marketplaces",https://www.tectake.com,HIGH,FALSE,German online retailer for furniture/garden/outdoor products; domain contains name
The Agent,customer story: the agent,null,LOW,TRUE,Unable to verify; generic name with many possible matches
The Conran Shop,customer story: the conran shop,https://www.conranshop.co.uk,HIGH,FALSE,UK premium furniture and homeware retailer; domain contains brand name
The Granite Group,customer story: the granite group,https://www.thegranitegroup.com,HIGH,FALSE,US plumbing and heating wholesale distributor; domain contains company name
Thirard,customer story: thirard,https://www.thirard.com,HIGH,FALSE,French lock and security hardware manufacturer; domain contains name
Tiffany And Co,testimonial: subpage: tiffany and co,https://www.tiffany.com,HIGH,FALSE,Iconic luxury jewelry brand; well-known domain
Tikamoon,customer story: tikamoon,https://www.tikamoon.com,HIGH,FALSE,French solid wood furniture e-commerce retailer; domain contains name
Traco Ag,"customer story: traco ag, customer story: traco power",https://www.tracopower.com,MEDIUM,FALSE,Traco Power - Swiss manufacturer of DC/DC converters and power supplies; Traco AG may be parent
Triumph Motorcycles,customer story: triumph motorcycles,https://www.triumphmotorcycles.com,HIGH,FALSE,British motorcycle manufacturer; domain contains full company name
Trotec,customer story: trotec,https://www.trotec-laser.com,MEDIUM,FALSE,Trotec Laser - manufacturer of laser cutting/engraving machines; another Trotec exists (HVAC)
Turner Price,customer story: turner price,https://www.turnerprice.com,HIGH,FALSE,UK foodservice wholesale distributor; domain contains company name
Tvh,subpage: pim for automotive ecommerce,https://www.tvh.com,HIGH,FALSE,TVH Parts - global distributor of replacement parts for material handling/industrial/automotive
Vandb,customer story: vandb,https://www.vandb.fr,HIGH,FALSE,V and B (VandB) - French franchise retailer of wines/beers/spirits
Verkkokauppa,customer story: verkkokauppa com,https://www.verkkokauppa.com,HIGH,FALSE,Finnish online electronics and general merchandise retailer
Villaverde,customer story: villaverde,https://www.villaverde.fr,MEDIUM,FALSE,French garden center and pet store chain; some ambiguity with other same-name entities
Wardow,customer story: wardow,https://www.wardow.com,HIGH,FALSE,German online retailer for premium bags and leather goods
Wein Wolf Gmbh,"customer story: wein wolf gmbh, customer story: wein wolf group",https://www.weinwolf.de,HIGH,FALSE,German wine distributor and importer
Wuesthof,subpage: brand manufacturer,https://www.wuesthof.com,HIGH,FALSE,Wuesthof (Wusthof) - German premium knife manufacturer from Solingen
Zadigvoltaire,customer story: zadigvoltaire,https://www.zadig-et-voltaire.com,HIGH,FALSE,Zadig & Voltaire - French fashion brand
Zenith,customer story: zenith,https://www.zenith-watches.com,HIGH,FALSE,Zenith - Swiss luxury watchmaker (LVMH group); preferred over industrial homonyms
Zodio,customer story: zodio,https://www.zodio.fr,HIGH,FALSE,French home decoration and cooking supplies retail chain
