account_name,detection_source
Furla,"customer story: furla, subpage: fashion"
Gadero,customer story: gadero
Gedimat,customer story: gedimat
Giant Tiger,customer story: giant tiger
Grillstar,customer story: grillstar
Group Ici,customer story: group ici
Groupe Emosia,customer story: groupe emosia
Groupe Ici,customer story: groupe ici
Grundfos,"subpage: brand manufacturer, subpage: expand to new segments"
Gsm55,customer story: gsm55
Haar Shop,customer story: haar shop ch
Havaianas,"subpage: activation, subpage: fashion"
Henderson,"subpage: pim for food and beverage, testimonial: subpage: henderson foodservice"
Heritage,"customer story: heritage parts centre, subpage: pim for automotive ecommerce"
Ibuy Stores,customer story: ibuy stores
Igus,customer story: igus
Intersport,"customer story: intersport, subpage: fashion"
Isdin,"subpage: activation, subpage: sell on retailers marketplaces"
Jaguar,"subpage: expand to new segments, subpage: pim for automotive ecommerce"
Jc Perreault,customer story: jc perreault
Jlr,"homepage, subpage: retailers & distributors"
Jpw Industries,subpage: brand manufacturer
Karl Lagerfeld,"subpage: expand to new segments, subpage: fashion"
Kitwave,"homepage, subpage: distributor retailer, subpage: retailers & distributors, testimonial: subpage: kitwave"
Kneipp,customer story: kneipp
Kolmi Hopen,"customer story: kolmi hopen, customer story: kolmi hopen 2"
Koro,"customer story: koro, customer story: koro handels gmbh"
Kruitbosch,customer story: kruitbosch
Kurt Geiger,"customer story: kurt geiger, subpage: fashion, subpage: omnichannel activation, subpage: supplier data onboarding solutions akeneo"
Lagardere Travel Retail,customer story: lagardere travel retail 2
Lancaster,customer story: lancaster
Leatherman,customer story: leatherman
Legallais,customer story: legallais
Lemieux,subpage: distributor retailer
Mannhummel,"homepage, subpage: activation, subpage: retailers & distributors, subpage: sell on retailers marketplaces"
Midland Scientific,customer story: midland scientific
Mole Online,"customer story: mole valley farmers, subpage: distributor retailer"
Mondial Tissus,subpage: expand to new segments
Myer,"customer story: myer, subpage: akeneo solutions, subpage: customer story, subpage: omnichannel activation, subpage: pim for cpg, subpage: supplier data onboarding solutions akeneo"
N Brown,customer story: n brown
Nature Decouvertes,customer story: nature decouvertes
Nei,customer story: nei
Nelson Jameson,subpage: distributor retailer
Novia,customer story: novia
Nuna,subpage: brand manufacturer
Nuxe,"subpage: akeneo solutions, subpage: omnichannel activation, subpage: supplier data onboarding solutions akeneo"
Obelink,"customer story: obelink, subpage: pim for cpg"
Petra,"customer story: petra, subpage: customer story, subpage: pim for cpg"
Pierce,"customer story: pierce, subpage: brand manufacturer"
Ploonk,customer story: ploonk
Poclain,customer story: poclain
Rdo Equip,"customer story: rdo equipment, homepage, subpage: retailers & distributors"
Remmers Gruppe,customer story: remmers gruppe
Remmmers,customer story: remmmers
Remy Cointreau,"customer story: remy cointreau, subpage: activation"
Rexel,"customer story: rexel, homepage, subpage: retailers & distributors"
Rob The Gourmets Market,customer story: rob the gourmets market
Rural King,"subpage: akeneo solutions, subpage: customer story, subpage: omnichannel activation, subpage: pim for cpg, subpage: supplier data onboarding solutions akeneo"
Sanicare,customer story: sanicare
Sbs,"customer story: sbs mobile, subpage: brand manufacturer"
Schmidt Groupe,customer story: schmidt groupe
Sealedair,"customer story: sealed air, subpage: b2b manufacturing"
Sellerx,customer story: sellerx
Sephora,subpage: expand to new segments
Shop Apotheke Europe,customer story: shop apotheke europe
Shop Com Market America,customer story: shop com market america
Slv,"customer story: slv erlebe licht, subpage: expand to new segments, subpage: pim for cpg"
Smallable,customer story: smallable
Smcp,customer story: smcp
Snipes,"homepage, subpage: retailers & distributors"
Spaenaur,customer story: spaenaur
Staples,"customer story: staples, homepage, subpage: akeneo solutions, subpage: customer story, subpage: distributor retailer, subpage: omnichannel activation, subpage: retailers & distributors, subpage: supplier data onboarding solutions akeneo"
Starkey,customer story: starkey
Steelcase,"customer story: steelcase, homepage, subpage: retailers & distributors"
Sunbelt Rentals,subpage: distributor retailer
Synchro Diffusion,customer story: synchro diffusion
Tarkett,"customer story: tarkett, subpage: brand manufacturer"
Taylormade,subpage: activation
Tectake,"customer story: tectake, subpage: activation, subpage: sell on retailers marketplaces"
The Agent,customer story: the agent
The Conran Shop,customer story: the conran shop
The Granite Group,customer story: the granite group
Thirard,customer story: thirard
Tiffany And Co,testimonial: subpage: tiffany and co
Tikamoon,customer story: tikamoon
Traco Ag,"customer story: traco ag, customer story: traco power"
Triumph Motorcycles,customer story: triumph motorcycles
Trotec,customer story: trotec
Turner Price,customer story: turner price
Tvh,subpage: pim for automotive ecommerce
Vandb,customer story: vandb
Verkkokauppa,customer story: verkkokauppa com
Villaverde,customer story: villaverde
Wardow,customer story: wardow
Wein Wolf Gmbh,"customer story: wein wolf gmbh, customer story: wein wolf gruppe"
Wuesthof,subpage: brand manufacturer
Zadigvoltaire,customer story: zadigvoltaire
Zenith,customer story: zenith
Zodio,customer story: zodio
